time,dP_pu
0.0,-0.043105272258545255
0.200268,-0.043105011486894086
0.400689,-0.043105171172905195
0.601108,-0.043105146267747495
0.801591,-0.04310560921067878
1.002005,-0.04310579087182904
1.202456,-0.04310572201639305
1.402922,-0.04310516824288664
1.603343,-0.04310517263791447
1.803787,-0.04310479759553976
2.003998,-0.04310517556793302
2.204226,-0.04310554621527991
2.404678,-0.04310606629357298
2.605103,-0.04310619667939856
2.805553,-0.043106139544036776
3.005896,-0.043105610675688064
3.206324,-0.04310561653572517
3.406556,-0.04310592418767318
3.606771,-0.04310590953758042
3.807231,-0.043106039923406
4.007646,-0.043106239164667576
4.207863,-0.04310622158455625
4.408102,-0.04310576889668989
4.608531,-0.043105492009936686
4.808754,-0.043105392389305906
5.009205,-0.04310548468489031
5.209607,-0.0431053308589163
5.409859,-0.04310554914529847
5.610105,-0.0431052385633319
5.810339,-0.04310553156518715
6.010579,-0.043105433409565644
6.210816,-0.0431055344952057
6.411049,-0.043105492009936686
6.611292,-0.043105659020994176
6.811531,-0.04310585240221864
7.01178,-0.043105506660029456
7.212018,-0.04310550812503872
7.412252,-0.04310569271620753
7.6125,-0.04310561507071589
7.812953,-0.04310552424014077
8.013411,-0.04310557112043761
8.213865,-0.04310578501179193
8.414243,-0.04310573373646727
8.614484,-0.04310581870700529
8.814723,-0.04310555940036339
9.014958,-0.04310619081936145
9.21518,-0.043105845077172265
9.415423,-0.04310591246759897
9.615583,-0.043105777686745554
9.816037,-0.043106101453795606
10.016494,-0.04310514333772895
10.216946,-0.043105472964816094
10.417193,-0.04310503932207034
10.61765,-0.04310525907346177
10.8181,-0.04310538066923169
11.018338,-0.04310566341602201
11.218793,-0.043105004161847704
11.419256,-0.04310528251361019
11.619713,-0.04310505104214454
11.819962,-0.04310485912592936
12.020198,-0.04310522830826696
12.220432,-0.04310513015264546
12.420586,-0.04310572055138378
12.620933,-0.04310524588837828
12.82117,-0.04310524002834117
13.021627,-0.04310545391969551
13.22208,-0.04310572934143945
13.422531,-0.043105450989676955
13.622586,-0.04310549933498307
13.823013,-0.04310500709186625
14.023456,-0.043104724345075944
14.223702,-0.04310407241594802
14.423935,-0.04310419840674577
14.624181,-0.04310407534596657
14.824637,-0.04310486352095719
15.024872,-0.04310426579717248
15.225118,-0.04310470969498318
15.425353,-0.04310451631375871
15.625584,-0.04310446503843405
15.825833,-0.043104508988712334
16.026287,-0.04310484154581804
16.22703,-0.04310473606515015
16.426977,-0.04310468478982549
16.627456,-0.043104382997914574
16.827705,-0.04310405776585525
17.027939,-0.043104182291643735
17.228183,-0.04310400649053059
17.428418,-0.04310427019220031
17.628877,-0.043104541218916416
17.829258,-0.04310514040771039
18.029703,-0.04310486938099428
18.22995,-0.04310442108815576
18.430188,-0.04310458956422252
18.630423,-0.04310453535887931
18.83058,-0.04310475657528002
19.031037,-0.043104059230864536
19.23148,-0.04310479906054903
19.431831,-0.0431049060062262
19.632072,-0.0431044122981001
19.832302,-0.04310425261208899
20.032539,-0.04310458956422252
20.232581,-0.04310407827598512
20.432817,-0.04310462472444516
20.633053,-0.043104248217061165
20.833288,-0.04310411929624485
21.033532,-0.04310400649053059
21.233982,-0.04310432146752498
21.43444,-0.04310440057802589
21.634581,-0.04310386877965862
21.835037,-0.0431044679684526
22.035268,-0.043103909799918357
22.235508,-0.0431043449076734
22.435585,-0.04310393031004822
22.635819,-0.0431044122981001
22.836278,-0.04310437713787747
23.036513,-0.043104586634203974
23.23658,-0.043103776484074215
23.436817,-0.04310440936808155
23.637054,-0.04310421012681998
23.837514,-0.04310381164429685
24.037959,-0.043104044580771765
24.238196,-0.04310413834136545
24.438614,-0.04310451924377726
24.638832,-0.04310416031650459
24.839276,-0.04310450605869379
25.039536,-0.04310454268392569
25.239773,-0.043104336117617735
25.44023,-0.043104277517246686
25.640455,-0.04310396693528013
25.840577,-0.043103795529194806
26.041022,-0.04310356112771061
26.241487,-0.043103439531940686
26.44158,-0.04310356845275699
26.641816,-0.043104034325706836
26.84227,-0.0431034820172097
27.042511,-0.04310391126492763
27.242584,-0.04310388489476066
27.443043,-0.0431041105061892
27.643274,-0.043103997700474926
27.843514,-0.04310429070233018
28.043584,-0.04310418082663446
28.243832,-0.04310420133676432
28.444175,-0.04310381017928757
28.644421,-0.04310388635976994
28.844581,-0.04310379699420408
29.044818,-0.04310332233119859
29.245048,-0.04310338679160674
29.445481,-0.043103457112052
29.645741,-0.0431035494076364
29.845977,-0.04310341609179227
30.04644,-0.04310395375019664
30.246581,-0.043103820434352506
30.446826,-0.043103710558656784
30.647071,-0.04310341023175516
30.847522,-0.0431035303625158
31.047977,-0.043103004424185645
31.248213,-0.04310348348221897
31.448669,-0.043103659283332124
31.648914,-0.04310368418848981
31.84937,-0.04310298391405577
32.049582,-0.043102730467450986
32.24988,-0.043102901873536305
32.450052,-0.04310294289379604
32.650288,-0.043102775882738545
32.850528,-0.04310339118663457
33.05076,-0.04310357284778482
33.250999,-0.04310317143524313
33.451456,-0.043102758302627234
33.651703,-0.043102729002441706
33.852185,-0.04310291505861979
34.052643,-0.04310223089928779
34.252879,-0.04310236714515048
34.453345,-0.04310297072897229
34.653583,-0.04310280664793335
34.853819,-0.04310314360006689
35.054053,-0.043103001494167084
35.25429,-0.04310321099049359
35.454745,-0.04310278467279421
35.654987,-0.043103139205039054
35.855257,-0.043102557596356394
36.055507,-0.04310344685698706
36.255963,-0.04310312162492774
36.456197,-0.04310352450247871
36.656445,-0.04310294142878677
36.856582,-0.043103177295280244
37.05682,-0.043103230035614185
37.257067,-0.04310285792325802
37.457316,-0.04310301028422275
37.657764,-0.0431028711083415
37.858119,-0.04310350545735812
38.058377,-0.043102733397469534
38.258581,-0.043103199270419376
38.459034,-0.04310264110188513
38.6595,-0.04310263963687586
38.859969,-0.043102507786040994
39.060199,-0.04310326080080898
39.260642,-0.043103187550345166
39.461051,-0.04310312015991847
39.661508,-0.04310326226581826
39.861745,-0.04310326666084609
40.062195,-0.043102963403925915
40.262429,-0.04310299270411143
40.462675,-0.04310323443064201
40.663133,-0.043102866713313676
40.863384,-0.04310260447665323
41.063801,-0.04310239205030817
41.264017,-0.04310262645179237
41.464261,-0.043102371540178305
41.664501,-0.043102277779584634
41.864575,-0.043102622056764545
42.065032,-0.043102266059510425
42.265491,-0.04310266747205211
42.465948,-0.043102200134092994
42.666195,-0.04310247409082764
42.866441,-0.04310197598767373
43.0669,-0.04310189541216354
43.267353,-0.04310169617090197
43.467795,-0.04310177235138433
43.668274,-0.0431011511874512
43.86872,-0.04310154234492796
44.069182,-0.0431018485318667
44.269415,-0.04310178700147709
44.46976,-0.04310195987257169
44.670171,-0.04310215471880543
44.870404,-0.043102595686597564
45.07086,-0.04310257224644915
45.271106,-0.04310288136340644
45.47157,-0.043102515111087376
45.672027,-0.04310244479064212
45.872262,-0.04310211955858279
46.072495,-0.04310175477127302
46.272576,-0.04310171961105038
46.472823,-0.043101847066857414
46.673068,-0.04310160827034539
46.873528,-0.043101745981217354
47.073971,-0.043102353960066994
47.274434,-0.043102331984927855
47.474657,-0.043102104908490035
47.674901,-0.043102455045707054
47.875361,-0.043101915922293406
48.075797,-0.04310244772066068
48.27626,-0.04310194229246037
48.476487,-0.04310220306411155
48.676573,-0.04310198184771084
48.876816,-0.043102060958211744
49.077269,-0.04310147348949198
49.277706,-0.04310152769483519
49.478085,-0.04310160827034539
49.678322,-0.04310117169758107
49.878782,-0.04310112188726568
50.079241,-0.043101075006968845
50.279686,-0.04310154527494651
50.480144,-0.04310081277030839
50.680383,-0.04310094608615253
50.880822,-0.04310128010826751
51.081276,-0.04310125080808199
51.281483,-0.043100805445262014
51.481948,-0.04310103691672766
51.682388,-0.04310190859724702
51.882568,-0.04310143832926935
52.08301,-0.043101508649714605
52.283234,-0.04310135775375916
52.483477,-0.04310209318841583
52.683934,-0.043100968061291677
52.884175,-0.04310163024548454
53.084408,-0.043101354823740605
53.284862,-0.043101288898323174
53.485101,-0.04310103691672766
53.685338,-0.043101576040141316
53.885585,-0.043101379728898305
54.085832,-0.04310148227954763
54.286056,-0.04310166540570717
54.486297,-0.04310139584400033
54.686542,-0.04310133577862001
54.88657,-0.04310088455576293
55.086802,-0.043101028126672006
55.287053,-0.043100764425002276
55.48729,-0.04310103398670911
55.687529,-0.04310084646552175
55.887768,-0.0431010530318297
56.087998,-0.043100900670864965
56.28824,-0.04310068091947353
56.488483,-0.043101055961848246
56.688722,-0.04310095780622675
56.888953,-0.04310133870863857
57.08918,-0.043101420749158036
57.289408,-0.04310130354841593
57.489567,-0.04310156432006711
57.689794,-0.04310130794344376
57.890025,-0.04310132552355507
58.090269,-0.04310100029149576
58.29072,-0.043101051566820425
58.490961,-0.043100663339362216
58.69119,-0.043100960736245295
58.891641,-0.0431008801607351
59.09188,-0.043100990036430815
59.292109,-0.04310082888541043
59.492348,-0.04310131966351797
59.692595,-0.04310112481728423
59.892822,-0.043101170232571796
60.093062,-0.04310116144251614
60.293302,-0.04310141928414876
60.493533,-0.04310130208340666
60.693771,-0.04310093436607833
60.89401,-0.043100713149677616
61.09424,-0.04310088455576293
61.294483,-0.0431006032739819
61.494723,-0.04310046995813776
61.694962,-0.04310040842774815
61.895191,-0.04310082156036405
62.095422,-0.04310040989275743
62.295568,-0.043100360082442044
62.495806,-0.04310023116162573
62.696054,-0.04310042307784093
62.896291,-0.043100061220549685
63.096542,-0.04310069117453847
63.296572,-0.043101353358731324
63.496815,-0.043100890415800036
63.697042,-0.043100859650605235
63.897275,-0.04310057983383348
64.097503,-0.04310057983383348
64.297742,-0.04309992057965917
64.497972,-0.04310004364043837
64.698195,-0.04310011982092073
64.898424,-0.043100401102701774
65.098571,-0.04310011396088363
65.29881,-0.04310019746641238
65.499038,-0.04310078640014142
65.699267,-0.04310049486329545
65.899499,-0.043101060356876074
66.099958,-0.04310127864325823
66.30019,-0.04310150718470533
66.500429,-0.043101247878063444
66.700661,-0.04310081130529912
66.900894,-0.043100266321848366
67.101124,-0.04310045091301717
67.301366,-0.04310010517082797
67.50157,-0.043099788728824306
67.70181,-0.043099917649640614
67.902038,-0.04310053295353664
68.102278,-0.04310024727672777
68.302523,-0.043100049500475475
68.502567,-0.04310065308429728
68.703017,-0.043100628179139594
68.903469,-0.0431006398992138
69.103571,-0.043100007015206464
69.304024,-0.04310119074270166
69.504251,-0.04310054027858302
69.704481,-0.04310022530158863
69.904709,-0.04310074244986313
70.10517,-0.04310082888541043
70.305609,-0.04310068091947353
70.50585,-0.04310014326106916
70.706079,-0.04310027364689474
70.906321,-0.04310012421594856
71.106567,-0.04309955286233084
71.306809,-0.04309876175732166
71.507053,-0.04309935655108782
71.707292,-0.043098846727859685
71.907536,-0.043098714877024824
